Period,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,Grand Total
Detail,Total Pay (Sum),,,,,,,,,,,,
ðŸ’œðŸ–¤,250,250,250,250,250,600,600,600,600,600,600,600,5450
Agua Jamundi,,31,,,,,,,,,,,31
Ahorro pa la moto,,0,0,0,0,0,0,0,0,0,0,0,0
Alquiler,542,608,550,550,550,,,,,,,,2800
Asopagos,150,,,,,,,,,,,,150
BEPS,30,30,30,30,30,30,30,30,30,30,30,30,360
Bicicleta Papa,,300,,,,,,,,,,,300
Calistenia,160,160,160,160,160,160,160,160,160,160,160,160,1920
Camara de comercio,,,,,,,420,,,,,,420
Club del 1%,100,100,100,100,100,100,100,100,100,100,100,100,1200
Comida,600,600,600,600,600,300,300,300,300,300,300,300,5100
Cositas Pal Gym,,50,,,,,,,,,,,50
Credito Bancolombia,250,250,250,250,250,250,250,250,250,250,250,250,3000
Credito Fondecom (fondegarantias),1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,,,10100
Cuadro manifestacion Moto,350,,,,,,,,,,,,350
Cumpleanios Andres Victoria,,20,,,,,,,,,,,20
Datos,50,12,50,50,50,,50,48,31,39,50,50,480
Energia Jamundi,,6,,,,,,,,,,,6
Gas Jamundi,,0,,,,,,,,,,,0
Higiene personal,50,,80,,100,,,,,,,,230
Hipoteca,650,7601,500,500,300,,,,,,,,9551
iCloud,12,12,12,12,12,12,12,12,12,12,12,12,144
Impuestos a la propiedad,,,,250,,,,,,,,,250
Inverciones Zukaritas,200,200,200,200,200,200,200,200,200,200,200,200,2400
Las bendis,150,150,150,150,150,150,150,150,150,150,150,150,1800
Madre,,,,,,550,550,550,550,550,550,550,3850
Mantenimiento Bici,,,120,,,120,,,120,,,120,480
MI PAGO (Tyba),200,200,200,200,200,200,200,200,200,200,,200,2200
Music,9,9,9,9,9,9,9,9,9,9,9,9,108
PeluquerÃ­a o belleza,15,30,30,30,30,30,30,30,,30,,30,285
Prestamo Diana,50,,,,,,,,,,,,50
Regalos,100,,430,,250,1200,,,400,,200,1200,3780
Ropa,170,60,120,120,,,,,,,,,470
Salida BIDS,,,300,,,,,,,,,,300
Salida con Mapa,,100,,,,,,,,,,,100
Salida Teathron (Tyba),100,100,100,100,100,100,100,100,100,50,,,950
Seguro bici,45,45,50,50,50,50,50,50,50,45,45,50,580
Servicios Jamundi,35,,130,130,130,130,130,130,130,130,130,130,1335
TC AVVILLAS,392,,,,,,,,,,,,392
TC Banco de Bogota,650,199,,,,,,,,,,,849
TC Bancolombia,340,350,650,1200,1200,1200,1200,1200,1200,1200,1200,1200,12140
Vestido de banio Mama,,100,,,,,,,,,,,100
Viaje de mi mama,,400,,,,,,,,,,,400
Vuelos Brazil,,,,,,2000,,,,,,,2000
Grand Total,6660,12983,6081,5951,5731,8401,5551,5129,5602,5065,3986,5341,76481